"","ind","nest","chick","sex","year","age","weight","hatch_day"
"427","19g15",19,"green","m",2015,1,29,2015-07-21
"428","19g15",19,"green","m",2015,6,90,2015-07-21
"429","19g15",19,"green","m",2015,15,219,2015-07-21
"430","19g15",19,"green","m",2015,25,570,2015-07-21
"431","19g15",19,"green","m",2015,29,634,2015-07-21
"432","12r15",12,"red","m",2015,3,33,2015-07-10
"433","12r15",12,"red","m",2015,7,58,2015-07-10
"434","12r15",12,"red","m",2015,12,139,2015-07-10
"435","12r15",12,"red","m",2015,16,290,2015-07-10
"436","12r15",12,"red","m",2015,20,526,2015-07-10
"437","12r15",12,"red","m",2015,26,570,2015-07-10
"438","12r15",12,"red","m",2015,34,639,2015-07-10
"439","95r15",95,"red","m",2015,2,34,2015-07-12
"440","95r15",95,"red","m",2015,5,72,2015-07-12
"441","95r15",95,"red","m",2015,8,204,2015-07-12
"442","95r15",95,"red","m",2015,15,362,2015-07-12
"443","95r15",95,"red","m",2015,19,489,2015-07-12
"444","95r15",95,"red","m",2015,25,598,2015-07-12
"445","95r15",95,"red","m",2015,29,581,2015-07-12
"446","20b15",20,"blue","m",2015,4,47,2015-07-14
"447","20b15",20,"blue","m",2015,5,52,2015-07-14
"448","20b15",20,"blue","m",2015,9,129,2015-07-14
"449","20b15",20,"blue","m",2015,15,324,2015-07-14
"450","20b15",20,"blue","m",2015,20,465,2015-07-14
"451","20b15",20,"blue","m",2015,26,589,2015-07-14
"452","20b15",20,"blue","m",2015,30,578,2015-07-14
"453","30g15",30,"green","m",2015,4,53,2015-07-16
"454","30g15",30,"green","m",2015,11,193,2015-07-16
"455","30g15",30,"green","m",2015,15,300,2015-07-16
"456","30g15",30,"green","m",2015,20,397,2015-07-16
"457","30g15",30,"green","m",2015,26,524,2015-07-16
"458","30g15",30,"green","m",2015,30,569,2015-07-16
"459","85g15",85,"green","m",2015,2,35,2015-07-14
"460","85g15",85,"green","m",2015,6,59,2015-07-14
"461","85g15",85,"green","m",2015,12,150,2015-07-14
"462","85g15",85,"green","m",2015,15,230,2015-07-14
"463","85g15",85,"green","m",2015,21,350,2015-07-14
"464","85g15",85,"green","m",2015,25,325,2015-07-14
"465","85g15",85,"green","m",2015,31,447,2015-07-14
"466","33g15",33,"green","m",2015,1,33,2015-07-13
"467","33g15",33,"green","m",2015,5,79,2015-07-13
"468","33g15",33,"green","m",2015,10,208,2015-07-13
"469","33g15",33,"green","m",2015,15,374,2015-07-13
"470","33g15",33,"green","m",2015,21,510,2015-07-13
"471","33g15",33,"green","m",2015,30,560,2015-07-13
"472","130r15",130,"red","u",2015,5,73,2015-07-13
"473","67r15",67,"red","u",2015,5,71,2015-07-14
"474","67r15",67,"red","u",2015,10,175,2015-07-14
"475","35g15",35,"green","u",2015,5,64,2015-07-18
"476","35g15",35,"green","u",2015,10,147,2015-07-18
"477","75b15",75,"blue","u",2015,1,31,2015-07-17
"478","75b15",75,"blue","u",2015,6,98,2015-07-17
"479","85b15",85,"blue","u",2015,3,33,2015-07-17
"480","85b15",85,"blue","u",2015,9,51,2015-07-17
"481","4b15",4,"blue","f",2015,6,56,2015-07-13
"482","4b15",4,"blue","f",2015,9,147,2015-07-13
"483","4b15",4,"blue","f",2015,14,333,2015-07-13
"484","4b15",4,"blue","f",2015,18,545,2015-07-13
"485","4b15",4,"blue","f",2015,18,662,2015-07-13
"486","4b15",4,"blue","f",2015,18,662,2015-07-13
"487","59b15",59,"blue","f",2015,3,51,2015-07-20
"488","59b15",59,"blue","f",2015,9,206,2015-07-20
